x,y,arg
29.572151,-25.679338,2
-41.062412,-0.72305745,0
15.910433,-8.196661,1
16.324633,-6.828658,1
17.946217,-8.49983,1
18.091188,-7.8147726,1
18.065207,-6.293566,2
-26.519814,-1.9493306,2
29.781752,-24.546242,2
-40.682434,-0.70884365,0
16.339626,-8.295994,1
16.91355,-6.4591546,1
18.395222,-8.117429,1
18.22412,-6.701711,2
-26.521519,-1.395721,1
29.441793,-24.609598,2
-41.113483,0.73209757,0
16.860756,-8.054847,1
17.590721,-6.2736845,2
-39.188087,-0.70167804,0
30.3126,-24.620646,2
-40.321087,-0.5156527,0
29.145828,-24.542896,2
-41.308224,-0.48483026,0
29.61218,-24.899183,2
-40.43379,0.6317162,0
30.001808,-24.978996,2
-40.501144,0.919302,0
29.454887,-24.02869,2
-39.935333,-0.09451327,0
16.65058,-8.434105,1
17.399477,-6.635781,2
-38.888557,-0.3496876,0
28.62243,-24.446068,2
-40.481335,0.15529665,0
28.69002,-25.530611,2
-40.966774,-0.033100337,0
29.873814,-22.747345,0
29.492615,-21.438421,0
29.396475,-21.548744,0
29.426743,-22.00088,2
-26.726812,-1.2054441,0
28.852865,-24.661646,2
-40.409237,0.030419447,0
16.128105,-8.643956,1
16.819973,-6.6372495,1
18.50964,-8.407051,1
18.219255,-7.252952,2
-26.46348,-1.6343867,2
28.3444,-23.481228,2
-39.23072,0.27223426,0
15.893223,-8.040395,1
16.446295,-6.239176,1
18.208443,-8.717556,1
18.01293,-7.387143,2
-26.815098,-1.7918569,1
28.77705,-23.91797,2
-40.023117,0.63917637,0
29.082516,-24.924034,2
-40.6824,0.39481714,0
29.291481,-22.649607,0
30.06875,-22.256569,2
-39.7527,0.6636118,1
29.70136,-25.294083,2
-41.032852,0.17437764,0
29.317112,-25.259375,2
-41.639587,0.5396745,0
29.433989,-22.77404,0
30.004244,-21.796326,0
29.312744,-23.539843,2
-26.980364,-1.5031886,2
29.711042,-24.266148,2
-41.05134,0.8443377,0
29.251274,-25.424017,2
-41.352943,0.21073121,0
28.42424,-25.001175,2
-41.526558,-0.18577838,0
29.023436,-24.798248,2
-40.731762,-0.24741447,0
28.74021,-25.257175,2
-41.48787,0.32679495,0
